Cliente;Lugar
Hospital BSE ;
Hotel Ibis ;
Indian;Atlantico
Indian ;Punta Market Punta del Este
Indian ;Fragata
Indian ;Punta Shopping
Indian ;Gorlero
Indian ;Ariel
Indian ;Portones
Indian ;Maldonado
Indian ;Montevideo Shopping
INDIAN Chic Parisien ;Salto
INDIAN Chic Parisien ;Tacuarembo
Indian Fragata ;
Indian Gorlero ;
Indian Punta Market ;
L&G ;
La Molienda ;Sarandi
La Molienda ;Ejido
La Molienda ;Rondeau Cocina
La Molienda ;18 de Julio
La Molienda ;Rondeau Oficina
La Molienda ;Uruguay
La Molienda Colonia ;
Lactosan ;
Logitech ;
LUGAR DE PRUEBA;
Mayorista el As ;
Microlab ;
Mundo Mac ;Punta Shopping
Nedabal ;
No convocado;
Nutriem Latam ;
Obra GSS;
Oficina ;
Plaza Correo ;
Porto vanila ;Planta elaboradora
Proyecto Medishop ;
Rawer Ltda ;
Riven SRL ;Clínica Dental Br. Artigas
Schmidt Premoldeados ;
Schmidt Premoldeados ;Obra
Silber Studio ;
Tata ;Young (152)
Tata ;Trinidad (145)
Tata ;Trinidad (335)
Tata ;San Jose (121)
Tata ;Florida (315)
Tata ;Mercedes (317)
Teyma ;Fac. Enfermería
Tort Itda;
Tort Itda ;2do Local
UDE ;Punta Del Este
Veiga Ventos ;Via Disegno
Viavip ;Smart Parking
Wine Select ;Vinos del Mundo
